id,name,email,password,status,phone_number,last_login_date,profile_picture_url,tenant_id,created_at
42,Valley Head Nurse,nurse@valley.hospital,$2b$10$GlexnwhL5Df7vl50j6XZReN/R.oqg18gCRNlR8.NfedE9X89ObqqO,active,,,,valley_health_clinic,2025-12-02 06:19:34.0754
43,Dr. Metro Administrator,admin@metro.hospital,$2b$10$GqFSOem/uUyoLAWCuMTbEecKD6HEniBbBZ8QHbNIGabjHWulAkU5G,active,,,,metro_specialty_hospital,2025-12-02 06:19:34.287192
44,Dr. Metro Physician,doctor@metro.hospital,$2b$10$TS7TGE8jg9zCgbNRDs83XeXYwagH1920.LEMa0W7vgGBH6u5v0XE6,active,,,,metro_specialty_hospital,2025-12-02 06:19:34.287192
45,Metro Head Nurse,nurse@metro.hospital,$2b$10$xe/5r9OE8R6Ely83DP8R1.mRgdhfCQXja7pmIJARLXoGihCQ7a1XK,active,,,,metro_specialty_hospital,2025-12-02 06:19:34.287192
46,Dr. Riverside Administrator,admin@riverside.hospital,$2b$10$h2uLz691ng8uh9anSAMxseKLaJ9Ld8W9V/Qp6OYr7FP95F/5dIhXe,active,,,,riverside_community_hospital,2025-12-02 06:19:34.496399
47,Dr. Riverside Physician,doctor@riverside.hospital,$2b$10$4oDjqnkmPSeCPcxflCaJFOTp0LJ05uzEeamWDWmbSF/AEQYijzBRK,active,,,,riverside_community_hospital,2025-12-02 06:19:34.496399
48,Riverside Head Nurse,nurse@riverside.hospital,$2b$10$iCnv9Uim2Z9Ni8/glbsGbu.I8oz./DAuC7g0nyDAHfWt14ZslkVB2,active,,,,riverside_community_hospital,2025-12-02 06:19:34.496399
49,Aajmin Chief Pharmacist,pharmacist@aajmin.hospital,$2b$10$dLIchj4PhGvoMofJiBMG2ONxcp3M7UNdZmQ9iqhqQQn8Q7HblZkiC,active,,,,aajmin_polyclinic,2025-12-02 06:32:34.553859
50,Aajmin Front Desk,reception@aajmin.hospital,$2b$10$os8lYI.aEkTo4t6/EaOA/OE/8QdEIC1iwlRrQgv3VtqqqZ5IlTCD2,active,,,,aajmin_polyclinic,2025-12-02 06:32:34.622084
51,City Chief Pharmacist,pharmacist@citygeneral.hospital,$2b$10$XgwTQldqiaN4lQ3knCIGpuRDsoBBjcuKzxode2fLAH/e9qhLTnWNW,active,,,,city_general_hospital,2025-12-02 06:32:34.889402
52,City Front Desk,reception@citygeneral.hospital,$2b$10$MDP5bmujAHBiAi2W7bvzHejgAQOIz1T7D2v9uhOwsEYS/Naz3295W,active,,,,city_general_hospital,2025-12-02 06:32:34.956993
53,Sunrise Chief Pharmacist,pharmacist@sunrise.hospital,$2b$10$S2nwJBkW5DegzGDxTm5PeOzyjo0NiK8ZX09Ru98W6fYX1ccnCntfS,active,,,,sunrise_medical_center,2025-12-02 06:32:35.229418
54,Sunrise Front Desk,reception@sunrise.hospital,$2b$10$wie09Vy.mGwS44Gb4shVJ.PEuKW6b3CrnNjhQZh69t7UnDwy2Uj4G,active,,,,sunrise_medical_center,2025-12-02 06:32:35.29777
55,Valley Chief Pharmacist,pharmacist@valley.hospital,$2b$10$6b0d5eA8oaJMyahuPJwENu/FmGq9FWm3bjRt.hBMLZItJU3Qf/p8u,active,,,,valley_health_clinic,2025-12-02 06:32:35.562668
56,Valley Front Desk,reception@valley.hospital,$2b$10$4HdhDsbLHjCxK06ssJE4YOQ4Xp5CSVxsRNVuCwUlL9mP1lyJoF82u,active,,,,valley_health_clinic,2025-12-02 06:32:35.63059
57,Metro Chief Pharmacist,pharmacist@metro.hospital,$2b$10$VJUSIn2XXyAM4DE2UKvofuH.6PQ6hP48mIdbwRKcCkuKkmxU0kvLW,active,,,,metro_specialty_hospital,2025-12-02 06:32:35.901624
58,Metro Front Desk,reception@metro.hospital,$2b$10$Q/ILlCeH5gtpsBYGzdMa2uloiXLa94mpMGbP1FJylKCV/Viq8k87m,active,,,,metro_specialty_hospital,2025-12-02 06:32:35.969545
59,Riverside Chief Pharmacist,pharmacist@riverside.hospital,$2b$10$jTsBAETsHw5ZkQbOyWmm6.aNSTnYbAeuAaip0GHMZwU3du67QAIY2,active,,,,riverside_community_hospital,2025-12-02 06:32:36.246873
60,Riverside Front Desk,reception@riverside.hospital,$2b$10$YRPnKuPTo/Ui3rrOF1Wn5OsYM/DsdZMcqsdZj6Gpz58zOhIAHeLj6,active,,,,riverside_community_hospital,2025-12-02 06:32:36.317216
